"Date","Year","Month","Temp","Prec"
1961-01-01,1961,1,-2.75902724266052,20.3304615020752
1961-02-01,1961,2,2.44877982139587,30.4639186859131
1961-03-01,1961,3,6.70335865020752,10.525447845459
1961-04-01,1961,4,11.9484548568726,51.469367980957
1961-05-01,1961,5,12.4366445541382,85.0072326660156
1961-06-01,1961,6,17.9501838684082,131.645858764648
1961-07-01,1961,7,17.2164573669434,71.5563430786133
1961-08-01,1961,8,17.8035202026367,36.4221038818359
1961-09-01,1961,9,16.00022315979,16.678186416626
1961-10-01,1961,10,11.1612520217896,70.0761489868164
1961-11-01,1961,11,3.92366671562195,62.0735015869141
1961-12-01,1961,12,-2.35819530487061,36.7364349365234
1962-01-01,1962,1,-0.277508199214935,25.149959564209
1962-02-01,1962,2,-0.971709072589874,25.9386043548584
1962-03-01,1962,3,0.446606814861298,62.2822723388672
1962-04-01,1962,4,10.7842721939087,52.3299980163574
1962-05-01,1962,5,11.652979850769,163.953979492188
1962-06-01,1962,6,15.4751710891724,32.2639961242676
1962-07-01,1962,7,16.7109718322754,59.2768859863281
1962-08-01,1962,8,18.3179683685303,69.0183944702148
1962-09-01,1962,9,12.6537065505981,44.9839019775391
1962-10-01,1962,10,8.21840381622314,51.1911468505859
1962-11-01,1962,11,4.56848001480103,109.829322814941
1962-12-01,1962,12,-3.72392630577087,25.1913166046143
1963-01-01,1963,1,-8.52931594848633,19.2506561279297
1963-02-01,1963,2,-6.28770589828491,22.305549621582
1963-03-01,1963,3,0.968302190303802,42.7565879821777
1963-04-01,1963,4,9.77155780792236,22.0020771026611
1963-05-01,1963,5,14.0178060531616,80.7127075195312
1963-06-01,1963,6,17.504415512085,71.5092163085938
1963-07-01,1963,7,19.4833221435547,48.7289428710938
1963-08-01,1963,8,18.1824626922607,96.7984237670898
1963-09-01,1963,9,15.1384992599487,48.8173446655273
1963-10-01,1963,10,8.23541736602783,40.1478462219238
1963-11-01,1963,11,7.77598190307617,50.6505432128906
1963-12-01,1963,12,-4.79333829879761,5.97121572494507
1964-01-01,1964,1,-6.57460927963257,4.11764860153198
1964-02-01,1964,2,-0.686956584453583,11.2467956542969
1964-03-01,1964,3,-0.036024272441864,43.2255821228027
1964-04-01,1964,4,9.84090900421143,26.4314060211182
1964-05-01,1964,5,14.0558881759644,47.052318572998
1964-06-01,1964,6,19.1996402740479,84.5116729736328
1964-07-01,1964,7,18.9669094085693,61.4433670043945
1964-08-01,1964,8,16.5966835021973,78.4982299804688
1964-09-01,1964,9,13.8957614898682,8.19900131225586
1964-10-01,1964,10,8.43032932281494,117.400215148926
1964-11-01,1964,11,4.80860662460327,21.6956787109375
1964-12-01,1964,12,-0.906818866729736,42.4377479553223
1965-01-01,1965,1,-0.780689477920532,43.1953125
