"Date","Year","Month","Temp","Prec"
1961-01-01,1961,1,-5.30820751190186,30.1094799041748
1961-02-01,1961,2,-1.29089498519897,52.5687789916992
1961-03-01,1961,3,1.36519753932953,79.4155197143555
1961-04-01,1961,4,6.99151468276978,48.7056007385254
1961-05-01,1961,5,6.57758808135986,108.170524597168
1961-06-01,1961,6,13.2564716339111,94.9998016357422
1961-07-01,1961,7,11.6243152618408,102.938385009766
1961-08-01,1961,8,12.3413467407227,62.4077415466309
1961-09-01,1961,9,12.2986040115356,34.7998809814453
1961-10-01,1961,10,7.63034772872925,104.363861083984
1961-11-01,1961,11,0.705156207084656,57.7766609191895
1961-12-01,1961,12,-5.69761610031128,80.8148498535156
1962-01-01,1962,1,-3.57994341850281,86.0626602172852
1962-02-01,1962,2,-5.65051794052124,89.3985366821289
1962-03-01,1962,3,-3.95237421989441,75.8557052612305
1962-04-01,1962,4,5.3717303276062,64.0479354858398
1962-05-01,1962,5,6.14948844909668,153.230484008789
1962-06-01,1962,6,10.604043006897,45.7606468200684
1962-07-01,1962,7,11.8067121505737,90.6824264526367
1962-08-01,1962,8,13.2786064147949,74.6327819824219
1962-09-01,1962,9,8.57304763793945,91.4022750854492
1962-10-01,1962,10,6.02658557891846,50.2719497680664
1962-11-01,1962,11,0.625966012477875,72.8989944458008
1962-12-01,1962,12,-6.5284481048584,61.6616439819336
1963-01-01,1963,1,-10.2457609176636,55.1070518493652
1963-02-01,1963,2,-7.89958238601685,27.9018802642822
1963-03-01,1963,3,-2.34870076179504,40.572681427002
1963-04-01,1963,4,4.12461423873901,25.4572048187256
1963-05-01,1963,5,9.3971643447876,139.718002319336
1963-06-01,1963,6,12.9706954956055,116.780303955078
1963-07-01,1963,7,14.9288234710693,61.4226379394531
1963-08-01,1963,8,13.7028331756592,104.812835693359
1963-09-01,1963,9,11.0853052139282,97.3766708374023
1963-10-01,1963,10,5.13544607162476,53.5911827087402
1963-11-01,1963,11,4.38585424423218,82.1727294921875
1963-12-01,1963,12,-6.57518100738525,8.90876960754395
1964-01-01,1964,1,-6.1249041557312,14.4846429824829
1964-02-01,1964,2,-4.48422479629517,46.974437713623
1964-03-01,1964,3,-4.39911317825317,40.6441116333008
1964-04-01,1964,4,4.97254943847656,55.771915435791
1964-05-01,1964,5,9.17132377624512,52.1540260314941
1964-06-01,1964,6,14.391432762146,170.102447509766
1964-07-01,1964,7,13.9924507141113,73.9771194458008
1964-08-01,1964,8,11.5980520248413,163.727890014648
1964-09-01,1964,9,9.49370574951172,33.2647933959961
1964-10-01,1964,10,4.31080436706543,158.411270141602
1964-11-01,1964,11,0.845506072044373,122.399749755859
1964-12-01,1964,12,-3.41884684562683,38.6860580444336
1965-01-01,1965,1,-3.30009841918945,66.8396148681641
1965-02-01,1965,2,-7.8041787147522,56.5608596801758
1965-03-01,1965,3,-1.63823640346527,42.7989768981934
1965-04-01,1965,4,2.47827124595642,117.091384887695
1965-05-01,1965,5,6.29951047897339,174.468185424805
1965-06-01,1965,6,11.5384721755981,189.291778564453
1965-07-01,1965,7,11.8236131668091,175.601898193359
1965-08-01,1965,8,11.6004314422607,65.3915786743164
1965-09-01,1965,9,10.6294240951538,89.0953369140625
1965-10-01,1965,10,5.17708253860474,12.5992860794067
1965-11-01,1965,11,-2.81216311454773,43.6191787719727
